Participant Information
Name,
Age,
Sex,
Dominant Hand,
Date,2025-02-03_08h56.48.028

Force,Timestamp
-0.8298492431640625,2025-02-03 08:56:49.158454
-0.8888473510742188,2025-02-03 08:56:49.176829
-0.8740997314453125,2025-02-03 08:56:49.189723
-0.6233749389648438,2025-02-03 08:56:49.203705
-0.63812255859375,2025-02-03 08:56:49.217780
-0.5938720703125,2025-02-03 08:56:49.229720
-0.5791244506835938,2025-02-03 08:56:49.236702
-0.6086273193359375,2025-02-03 08:56:49.243743
-0.5791244506835938,2025-02-03 08:56:49.254747
-0.6086273193359375,2025-02-03 08:56:49.271385
-0.5938720703125,2025-02-03 08:56:49.278955
-0.534881591796875,2025-02-03 08:56:49.297119
-0.5791244506835938,2025-02-03 08:56:49.397483
-0.5791244506835938,2025-02-03 08:56:49.497301
-0.5938720703125,2025-02-03 08:56:49.597254
-0.5938720703125,2025-02-03 08:56:49.697301
-0.63812255859375,2025-02-03 08:56:49.797611
-0.6086273193359375,2025-02-03 08:56:49.897304
-0.6823654174804688,2025-02-03 08:56:49.997060
-0.5643768310546875,2025-02-03 08:56:50.097078
-0.7118606567382812,2025-02-03 08:56:50.197208
-0.741363525390625,2025-02-03 08:56:50.297710
-0.903594970703125,2025-02-03 08:56:50.397878
-0.6233749389648438,2025-02-03 08:56:50.497080
-0.5791244506835938,2025-02-03 08:56:50.596914
-0.63812255859375,2025-02-03 08:56:50.697390
-0.5791244506835938,2025-02-03 08:56:50.797046
-0.6233749389648438,2025-02-03 08:56:50.896680
-0.6086273193359375,2025-02-03 08:56:50.997123
-0.5643768310546875,2025-02-03 08:56:51.097683
